HTTP SMOKE — v2.15.24

PASS / status=200 type=text/html
PASS /index.html status=200 type=text/html
PASS /js/game.js status=200 type=text/javascript
PASS /css/game.css status=200 type=text/css
PASS /sw.js status=200 type=text/javascript
PASS /manifest.json status=200 type=application/json
PASS /assets/icon.svg status=200 type=image/svg+xml
PASS /assets_ch2/bosses/apis_imperia/base.png status=200 type=image/png
PASS /assets_ch2/enemies/w20/major.png status=200 type=image/png
PASS /assets/music/boss_12_hadal_pulse.mp3 status=200 type=audio/mpeg
