world,bossHp,bossShield,enemyHp,enemySpeed,enemyFirePace,hordePace,hazardPace,eventPace,spawnPace,incoming,bossSpeed,bossCadence,dropChance
1,11200,650,0.92,0.94,0.9,0.88,0.84,0.9,0.92,0.92,0.92,1.08,1.05
2,12900,760,0.94,0.96,0.93,0.91,0.88,0.93,0.94,0.94,0.94,1.05,1.05
3,14800,900,0.96,0.98,0.96,0.94,0.91,0.96,0.96,0.96,0.96,1.03,1.04
4,17000,1050,0.98,1.0,0.99,0.97,0.94,0.98,0.98,0.98,0.98,1.01,1.04
5,19500,1200,1.0,1.02,1.02,1.0,0.97,1.0,1.0,1.0,1.0,0.99,1.03
6,22400,1380,1.02,1.04,1.05,1.03,1.0,1.02,1.02,1.02,1.03,0.97,1.03
7,25700,1580,1.03,1.06,1.08,1.05,1.03,1.04,1.04,1.03,1.05,0.95,1.03
8,29500,1800,1.05,1.07,1.1,1.07,1.05,1.06,1.05,1.04,1.07,0.94,1.02
9,33900,2050,1.06,1.09,1.12,1.09,1.08,1.08,1.07,1.05,1.09,0.92,1.02
10,38900,2320,1.08,1.1,1.14,1.12,1.1,1.1,1.08,1.06,1.11,0.9,1.02
11,44700,2600,1.1,1.12,1.16,1.14,1.13,1.12,1.1,1.07,1.13,0.88,1.02
12,51400,2920,1.12,1.14,1.18,1.16,1.15,1.14,1.11,1.08,1.15,0.86,1.02
13,59000,3260,1.14,1.16,1.2,1.18,1.17,1.16,1.12,1.09,1.17,0.84,1.02
14,67800,3620,1.16,1.18,1.23,1.2,1.19,1.18,1.14,1.1,1.19,0.82,1.02
15,77800,4000,1.18,1.2,1.25,1.22,1.21,1.19,1.15,1.11,1.21,0.8,1.02
16,89400,4400,1.2,1.22,1.28,1.24,1.23,1.2,1.16,1.12,1.23,0.78,1.02
17,102600,4820,1.22,1.24,1.3,1.25,1.25,1.22,1.18,1.13,1.25,0.77,1.02
18,117900,5260,1.25,1.25,1.33,1.27,1.28,1.23,1.19,1.15,1.27,0.75,1.03
19,135400,5720,1.27,1.27,1.36,1.29,1.3,1.24,1.2,1.16,1.29,0.73,1.03
20,155500,6200,1.3,1.28,1.39,1.31,1.32,1.25,1.22,1.18,1.32,0.72,1.04
